N_ID,Marca,Modelo,Anyo,Color,Kilómetros,Motor,Combustible,Tamaño,N_Ocupantes,Peso,C_Maletero,Potencia,Emisiones,Autonomía,Precio,Edad,Depreciacion_Edad,Depreciacion_Kilometros,Depreciacion_Total,Valor_Estimado,Perdida_Valor,Coste_Por_Km,Categoria_Precio,Etiqueta_Ambiental
1,Kia,Picanto,2015,Azul,176264.0,1.5 BlueHDi,Gasolina,391x188x153,5,1130,419.0,204 CV,138.1,959.0,14309.53,11,1.65,0.176264,0.9,1430.95,12878.58,0.08,Economico,B
2,Volkswagen,T-Roc,2024,Azul,16424.0,1.5 dCi,Diésel,423x178x144,5,1444,494.0,99 CV,111.2,735.0,26777.03,2,0.3,0.016424,0.316424,18304.14,8472.89,1.63,Premium,C
3,Dacia,Spring,2023,Negro,47223.0,Eléctrico,Eléctrico,460x189x168,5,1691,335.0,111 kW,0.0,419.0,16061.19,3,0.44999999999999996,0.047223,0.49722299999999997,8075.2,7985.99,0.34,Medio,CERO
4,Toyota,Yaris,2018,Negro,163640.0,Eléctrico,Eléctrico,400x181x151,5,1786,336.0,255 kW,0.0,412.0,20755.11,8,1.2,0.16364,0.9,2075.51,18679.6,0.13,Medio,CERO
5,Dacia,Duster,2017,Naranja,183897.0,Híbrido,Híbrido Enchufable,408x180x166,5,1334,461.0,177 CV,43.4,56.0,16473.09,9,1.3499999999999999,0.183897,0.9,1647.31,14825.78,0.09,Medio,ECO
6,Hyundai,i30,2018,Naranja,167712.0,Híbrido,Híbrido,398x178x144,5,1674,599.0,184 CV,74.9,712.0,19738.61,8,1.2,0.167712,0.9,1973.86,17764.75,0.12,Medio,ECO
7,Peugeot,5008,2022,Negro,38172.0,1.4 TSI,Diésel,467x183x159,5,1494,539.0,210 CV,106.3,605.0,21062.27,4,0.6,0.038172000000000005,0.638172,7620.92,13441.35,0.55,Medio,C
8,Renault,Scenic,2019,Rojo,81585.0,1.6 HDi,Diésel,380x178x156,5,1619,452.0,238 CV,117.8,791.0,17720.09,7,1.05,0.081585,0.9,1772.01,15948.08,0.22,Medio,C
9,Ford,Mondeo,2015,Marrón,204831.0,2.0 TDI,Gasolina,419x177x141,5,1680,343.0,199 CV,158.9,664.0,11327.13,11,1.65,0.20483099999999999,0.9,1132.71,10194.42,0.06,Economico,B
10,Nissan,Leaf,2017,Azul,196785.0,Híbrido,Híbrido Enchufable,476x176x162,5,1508,491.0,187 CV,75.0,64.0,16220.03,9,1.3499999999999999,0.19678500000000002,0.9,1622.0,14598.03,0.08,Medio,ECO
11,Volkswagen,Polo,2020,Blanco,93240.0,1.2 TSI,Gasolina,470x190x141,5,1169,469.0,93 CV,123.9,876.0,17858.49,6,0.8999999999999999,0.09324,0.9,1785.85,16072.64,0.19,Medio,B
